지역,umdNm,aptNm,kaptCode,matchType,세대수,시공사,동수,사용승인일
경기 성남시 분당구,구미동,무지개(12단지)(주공),A46371417,contains,905.0,"인풍종합건설(주),두산개발(주)",9,19950707
경기 성남시 분당구,야탑동,장미마을(코오롱)1,A46378822,dedong,1082.0,코오롱건설,18,19930224
경기 성남시 분당구,운중동,산운마을8단지(부영사랑으로),A46379110,contains,371.0,(주)광영토건,6,20081231
경기 성남시 분당구,이매동,아름마을(두산),A46373315,contains,1132.0,"(주)삼호,두산건설(주)",24,19920928
경기 성남시 분당구,분당동,샛별마을(삼부),A46374904,contains,588.0,삼부토건(주),14,19920709
경기 성남시 분당구,수내동,푸른마을(쌍용),,no_match,,,,
경기 성남시 분당구,이매동,이매촌(삼성),A46382916,exact,1162.0,(주)삼성건설,27,19940423
경기 성남시 분당구,정자동,더샵분당파크리버,,no_match,,,,
경기 성남시 분당구,이매동,이매촌(삼환),A46382909,exact,572.0,삼환기업,10,19940929
경기 성남시 분당구,서현동,효자촌(임광),A46376605,contains,732.0,임광토건(주),14,19920725
경기 성남시 분당구,야탑동,매화마을공무원1,,no_match,,,,
경기 안양시 동안구,호계동,평촌센텀퍼스트,A10022907,exact,2886.0,대림.코오롱,23,20231124
경기 안양시 동안구,관양동,인덕원마을(삼성),,no_match,,,,
경기 안양시 동안구,관양동,평촌더샵센트럴시티,A10027233,exact,1459.0,(주)포스코,10,20160628
경기 안양시 동안구,평촌동,향촌마을현대5차,,no_match,,,,
경기 안양시 동안구,평촌동,향촌롯데,A43179302,exact,530.0,롯데건설,8,19930327
경기 안양시 동안구,평촌동,인덕원대우,,no_match,,,,
경기 안양시 동안구,비산동,평촌래미안푸르지오,A10024077,exact,1199.0,"삼성물산, 대우건설",10,20211105
경기 안양시 동안구,호계동,평촌트리지아,A10022268,exact,2417.0,"현대,코롱, SK건설",22,20240819
경기 안양시 동안구,평촌동,향촌마을현대4차,A43179403,dedong,552.0,고려산업개발,8,19921128
