지역,umdNm,aptNm,buildYear,addr_display,lat,lon,match_query
경기 하남시,덕풍동,더샵하남에디피스,2024,하남대로,37.5457983,127.1988917,대한민국 경기 하남시 덕풍동 하남대로
경기 하남시,망월동,미사강변 골든 센트로,2014,미사강변동로,37.5694662,127.1900597,대한민국 경기 하남시 망월동 미사강변동로
경기 하남시,망월동,미사강변루나리움,2015,아리수로,37.567055,127.1888804,대한민국 경기 하남시 망월동 아리수로
경기 하남시,망월동,미사강변스타힐스아파트,2016,미사강변대로,37.5680064,127.184794,대한민국 경기 하남시 망월동 미사강변대로
경기 하남시,망월동,미사강변파밀리에,2014,아리수로,37.567055,127.1888804,대한민국 경기 하남시 망월동 아리수로
경기 하남시,망월동,미사강변효성해링턴플레이스엔에이치에프,2017,미사강변한강로,37.5750503,127.1765463,대한민국 경기 하남시 망월동 미사강변한강로
경기 하남시,선동,미사강변 센트리버,2016,미사강변대로,37.5781555,127.1795201,대한민국 경기 하남시 선동 미사강변대로
경기 하남시,선동,미사강변리슈빌엔에이치에프,2018,미사강변북로,37.5727734,127.1914733,대한민국 경기 하남시 선동 미사강변북로
경기 하남시,신장동,하남호반써밋에듀파크,2021,하남유니온로,37.5461978,127.2144661,대한민국 경기 하남시 신장동 하남유니온로
경기 하남시,풍산동,미사강변동일하이빌,2018,미사강변서로,37.5545437,127.1839574,대한민국 경기 하남시 풍산동 미사강변서로
서울 강남구,논현동,경남논현,1996,언주로116길,37.5123018,127.0294935,대한민국 서울 강남구 논현동
서울 강남구,삼성동,삼성풍림2차아파트,1998,봉은사로105길,37.5174292,127.0604692,대한민국 서울 강남구 삼성동 봉은사로105길
서울 강남구,세곡동,강남신동아파밀리에1단지,2011,헌릉로590길,37.4622531,127.1012819,대한민국 서울 강남구 세곡동 헌릉로590길
서울 강남구,역삼동,브라운스톤역삼,2004,역삼로,37.4995545,127.0478452,대한민국 서울 강남구 역삼동 역삼로
서울 강남구,역삼동,세방하이빌1,2003,역삼로,37.4995545,127.0478452,대한민국 서울 강남구 역삼동 역삼로
서울 강남구,역삼동,시티프라디움더강남101동,2021,언주로,37.4963919,127.0458068,대한민국 서울 강남구 역삼동 언주로
서울 강남구,자곡동,강남자곡 힐스테이트,2015,자곡로3길,37.4712091,127.0898208,대한민국 서울 강남구 자곡동 자곡로3길
서울 강동구,강일동,강동리버스트4단지,2020,아리수로93가길,37.5704924,127.1720341,대한민국 서울 강동구 강일동 아리수로93가길
서울 강동구,강일동,강동리버스트8단지,2021,아리수로93나길,37.56723,127.1713,대한민국 서울 강동구 강일동
서울 강동구,강일동,강일리버파크1단지,2009,아리수로93가길,37.5704924,127.1720341,대한민국 서울 강동구 강일동 아리수로93가길
서울 강동구,강일동,강일리버파크3단지,2009,아리수로93길,37.5648044,127.1740647,대한민국 서울 강동구 강일동 아리수로93길
서울 강동구,강일동,강일리버파크5단지,2009,아리수로97길,37.5681838,127.1769489,대한민국 서울 강동구 강일동 아리수로97길
서울 강동구,강일동,고덕리엔파크2단지,2011,고덕로,37.5580579,127.1783711,대한민국 서울 강동구 강일동 고덕로
서울 강동구,고덕동,고덕센트럴푸르지오,2020,고덕로,37.5561996,127.1622583,대한민국 서울 강동구 고덕동 고덕로
서울 강동구,고덕동,래미안힐스테이트고덕,2016,아리수로50길,37.56528,127.15761,대한민국 서울 강동구 고덕동
서울 강동구,고덕동,배재현대,1995,고덕로61길,37.56528,127.15761,대한민국 서울 강동구 고덕동
서울 강동구,길동,삼익파크맨션,1982,명일로,37.5448724,127.1482916,대한민국 서울 강동구 길동 명일로
서울 강동구,길동,이편한세상강동에코포레,2020,천중로,37.5410954,127.1392306,대한민국 서울 강동구 길동 천중로
서울 강동구,둔촌동,더샵파크솔레이유,2023,진황도로61길,37.5289132,127.1445825,대한민국 서울 강동구 둔촌동 진황도로61길
서울 강동구,둔촌동,둔촌푸르지오,2010,명일로,37.5324351,127.1441069,대한민국 서울 강동구 둔촌동 명일로
서울 강동구,둔촌동,둔촌하이츠,1998,명일로,37.5324351,127.1441069,대한민국 서울 강동구 둔촌동 명일로
서울 강동구,둔촌동,신동아파밀리에,2002,양재대로96길,37.5291594,127.1397427,대한민국 서울 강동구 둔촌동 양재대로96길
서울 강동구,둔촌동,신성둔촌미소지움1,1998,명일로,37.5324351,127.1441069,대한민국 서울 강동구 둔촌동 명일로
서울 강동구,둔촌동,신성둔촌미소지움2,2000,진황도로,37.5276895,127.1448084,대한민국 서울 강동구 둔촌동 진황도로
서울 강동구,둔촌동,현대2,1988,풍성로65길,37.5311931,127.1418066,대한민국 서울 강동구 둔촌동 풍성로65길
서울 강동구,명일동,명일지에스아파트,1999,상암로51길,37.54841,127.15158,대한민국 서울 강동구 명일동
서울 강동구,상일동,강동리엔파크14단지,2021,고덕로98길,37.5567762,127.1667789,대한민국 서울 강동구 상일동
서울 강동구,상일동,고덕아르테스미소지움,2022,동남로,37.5567762,127.1667789,대한민국 서울 강동구 상일동
서울 강동구,상일동,중앙하이츠,1992,구천면로,37.5511253,127.162709,대한민국 서울 강동구 상일동 구천면로
서울 강동구,성내동,그란츠리버파크,2025,천호대로,37.52998,127.12875,대한민국 서울 강동구 성내동
서울 강동구,성내동,성내동삼성아파트,1999,풍성로,37.5309024,127.1290289,대한민국 서울 강동구 성내동 풍성로
서울 강동구,성내동,성안마을청구,2002,풍성로,37.5309024,127.1290289,대한민국 서울 강동구 성내동 풍성로
서울 강동구,성내동,올림픽파크한양수자인,2016,성내로,37.5287555,127.1254049,대한민국 서울 강동구 성내동 성내로
서울 강동구,성내동,코오롱(1차),1999,천호대로168길,37.52998,127.12875,대한민국 서울 강동구 성내동
서울 강동구,암사동,삼성광나루,2002,상암로3길,37.5582352,127.1308542,대한민국 서울 강동구 암사동
서울 강동구,암사동,선사현대아파트,2000,상암로,37.5582352,127.1308542,대한민국 서울 강동구 암사동
서울 강동구,암사동,한강현대,1999,올림픽로104길,37.5555709,127.130993,대한민국 서울 강동구 암사동 올림픽로104길
서울 강동구,암사동,힐스테이트 강동 리버뷰,2019,올림픽로91길,37.5582352,127.1308542,대한민국 서울 강동구 암사동
서울 강동구,천호동,래미안강동팰리스,2017,천호대로,37.5398257,127.1210652,대한민국 서울 강동구 천호동 천호대로
서울 강동구,천호동,천호태영아파트,1999,천호대로,37.5398257,127.1210652,대한민국 서울 강동구 천호동 천호대로
서울 강동구,천호동,힐데스하임천호아파트,2023,올림픽로78길,37.5417054,127.1282347,대한민국 서울 강동구 천호동 올림픽로78길
서울 강서구,가양동,가양6단지,1992,허준로,37.5652746,126.8535207,대한민국 서울 강서구 가양동 허준로
서울 강서구,가양동,가양강나루현대,1999,양천로,37.5627471,126.8519544,대한민국 서울 강서구 가양동 양천로
서울 강서구,가양동,강서한강자이,2013,양천로55길,37.5658831,126.8498476,대한민국 서울 강서구 가양동 양천로55길
서울 강서구,내발산동,마곡수명산파크4단지,2008,수명로1길,37.5539189,126.8377194,대한민국 서울 강서구 내발산동
서울 강서구,내발산동,마곡수명산파크5단지,2008,수명로2길,37.5539189,126.8377194,대한민국 서울 강서구 내발산동
서울 강서구,내발산동,우장산힐스테이트,2005,강서로,37.5507788,126.8363291,대한민국 서울 강서구 내발산동 강서로
서울 강서구,등촌동,주공10,1995,화곡로63가길,37.552056,126.8615649,대한민국 서울 강서구 등촌동
서울 강서구,등촌동,주공3,1995,강서로56나길,37.552056,126.8615649,대한민국 서울 강서구 등촌동
